dataset_id,date_of_contribution,name_contact,email_contact,doi_dataset,doi_publication,comments_reference,species_reported,comments_taxonomy,realm_general,realm_specific,elevation_of_collection,depth_of_collection,lat_gg,lat_mm,lat_ss,long_gg,long_mm,long_ss,origin,comments_location,date_of_collection_initial,date_of_collection_final,comments_timing,maintained,maintenance_duration_days,maintenance_duration_generations,maintenance_temperature,maintenance_photoperiod,maintenance_humidity,maintenance_oxygen,maintenance_oxygen_units,maintenance_carbon_dioxide_units,maintenance_food_type,acclimated,strategy_of_protection,sex,life_stage_general_initial,life_stage_general_final,life_stage_specific_initial,life_stage_specific_final,size_type,size_units,size_value_initial,size_value_final,test_temperature,test_oxygen,test_carbon_dioxide,test_oxygen_units,test_carbon_dioxide_units,test_photoperiod,test_humidity,comments_experimental_conditions,development_time,development_time_unit,comments_development
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.42,28,,,,,,,,12,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.38,28,,,,,,,,12,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.46,28,,,,,,,,12,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.39,28,,,,,,,,12,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.42,28,,,,,,,,11,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.43,28,,,,,,,,11,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.4,28,,,,,,,,12,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.42,28,,,,,,,,12,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.4,28,,,,,,,,12,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.43,28,,,,,,,,13,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.41,28,,,,,,,,12,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.42,28,,,,,,,,12,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.42,28,,,,,,,,12,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.38,28,,,,,,,,12,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.42,28,,,,,,,,12,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.46,28,,,,,,,,12,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.47,28,,,,,,,,11,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.45,28,,,,,,,,11,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.42,28,,,,,,,,12,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.42,28,,,,,,,,12,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.4,28,,,,,,,,12,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.4,28,,,,,,,,13,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.44,28,,,,,,,,11,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.42,28,,,,,,,,11,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.41,28,,,,,,,,12,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.39,28,,,,,,,,11,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.45,28,,,,,,,,13,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.41,28,,,,,,,,12,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.42,28,,,,,,,,12,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.42,28,,,,,,,,12,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.4,28,,,,,,,,13,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.42,28,,,,,,,,12,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.36,28,,,,,,,,11,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.42,28,,,,,,,,12,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.42,28,,,,,,,,12,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.42,28,,,,,,,,13,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.45,28,,,,,,,,12,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.39,28,,,,,,,,12,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.42,28,,,,,,,,12,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.42,28,,,,,,,,12,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.41,28,,,,,,,,11,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.46,28,,,,,,,,11,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.46,28,,,,,,,,11,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.41,28,,,,,,,,11,days,
Jerbi_Elayed_et_al_2022,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.4721086,https://doi.org/10.1016/j.jtherbio.2021.103140,primary,Aphidius_colemani,,terrestrial,,200,,,,,,,,Mass rearing company,,01-01-2015,02-01-2015,,yes,,,28,,,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,tibia size,millimeter,,0.4,28,,,,,,,,11,days,
